task_type,input_text,aux_text,label
STS,White House in damage control over Obama Supreme Court remarks,Fact check: Obama's Supreme Court remarks,0.7200000000000001
TONE_FORMALITY,"Simon Thomson, founder of the Dubai-based Middle East Council of Shopping Centres, said Tesco had been 'conspicuous in their absence' in the region.",,0.6260869565217391
TONE_POLARITY,"I'm not really anti Bill Phillips like some other reviewers and I don't know his history. I bought this book, followed the technique to a key and felt worse after. I have a feeling it was the supplements because I never had such headaches just from working out, and I've been working out for years. Somethings I did find annoying like the ""late night infomercial"" tone through most of the book and each page had the e-commerce website on it six times. I will give credit to Mr. Phillips ability to motivate people but I'm not convinced Anthony Robbins won't do a better job for you.",,0.0
TONE_FORMALITY,"Oprah is God, and God owns everything, therefore Oprah owns SPAM",,0.208695652173913
PAWS,"Thus , Montgomery was able to accumulate wealth , create a business , and run a personal library .","Montgomery was thus able to accumulate wealth , establish a business , and run a personal library .",1.0
PAWS,Notre Dame got half of the $ 7.6 million that NBC paid for the rights each year of the deal and its opponent received the other half .,"Notre Dame received half the $ 7.6 million that NBC paid each year for the rights of the deal , and its opponent received the other half .",1.0
TONE_FORMALITY,"""My whole family is heartbroken also. Just remember, there are two sides of the story; I miss them as well.""",,0.5565217391304348
TONE_FORMALITY,When do we leave?,,0.4782608695652174
STS,A dog is looking into swimming pool.,A dog is walking along the edge of a pool.,0.52
TONE_POLARITY,It cuts but this is not a close shave. You can scrub and scrub to get a good one or supplement it with a regular razer. Your choice!,,0.0
TONE_FORMALITY,Do the two of you want to spend the rest of your lives together?,,0.34782608695652173
STS,the iaea report is restricted. ,the killers escaped.,0.0
PAWS,Atilia Caucidia Tertulla ( flourishing 2nd century ) was an aristocratic woman from ancient Roman society .,Atilia Caucidia Tertulla ( flourished 2nd century ) was an Ancient Roman woman from aristocratic society .,0.0
PAWS,Graphs in which vertices are inscribed and edges are indistinguishable are consequently called `` indistinguishable '' .,"Consequently , graphs in which vertices are unlabeled and edges are indistinguishable are called `` indistinguishable '' .",1.0
TONE_FORMALITY,I see a lot of stories not as important on the news.,,0.41739130434782606
PAWS,"Urfa Gate was rebuilt by Kara Arslan , son of Muhammad .","The Urfa gate was rebuilt by Kara Arslan , the son of Muhammad .",1.0
STS,A person is mixing water and flour.,A person is hitchhiking on a road.,0.16000000000000003
TONE_FORMALITY,"Amazingly, we made a total of 4,284 arrests and seized over 7,500 pieces of false identification in just over 30 days.",,0.6521739130434783
PAWS,"In 1998 , parliamentary elections were held in India after the government called in 1996 collapsed and the 12th Lok Sabha was elected .","General elections were held in India in 1998 , after the government elected in 1996 collapsed and the 12th Lok Sabha was convened .",0.0
TONE_FORMALITY,Next Saturday in For Conservative Movie Lovers: a look at They Were Expendable's luminous cinematography and graceful direction.,,0.6260869565217391
TONE_FORMALITY,"As a convicted sex offender, Sowell was required to report regularly to the sheriff's office, which said he had complied.",,0.7652173913043478
PAWS,"In the 1970s , W & amp ; R Jacob merged with Boland 's Biscuits to Irish Biscuits Ltd. in Tallaght , Ireland , and moved to Dublin .","In the 1970s , W & R Jacob in Tallaght , Ireland merged with Boland 's Biscuits to form Irish Biscuits Ltd. and moved to Dublin .",1.0
TONE_FORMALITY,I did go to St. Lucie where there is no one in a shelter.,,0.7304347826086957
PAWS,"The Special Emergency Response Team ( SERT ) is the police - tactical group of Queensland Police , Australia .","Special Emergency Response Team ( SERT ) is the Police Tactical Group of the Queensland Police , Australia .",1.0
TONE_POLARITY,"This is a good one Laurnea! I have all of your CDs, I think?.I have been following you sense ""Betta Listen"" your first on Yab Yum / Sony. I have Laurnea II and New Territory both on JVC Japan.I can see the growth in this CD. And it takes you through a journey into Laurnea's world . I really like the smooth happy feeling it gives me and I want to listen to it over and over again. I will buy it as a gift for a lot of people. Her voice is amazing and comforting. Everyone should have this in their collection.Kellie",,1.0
TONE_FORMALITY,"The ""Subversive Activities Law"".",,0.6956521739130435
TONE_POLARITY,"The Heroine's Journey draws from epic tales to propose a set of women's rites of passage:* rejecting the feminine* ""daddy's girl"" identifying with the masculine* road of trials* illusion of success* betrayal or refusing authority* initiation and descent* reconnection with the feminine* healing the madwoman/mother/daughter split* letting go of machisma in favor of completion in sacred marriage* integrating dualityHat tip and recommended reading:The Hero With a Thousand Faces (Bollingen Series, No. 17) (v. 6).Compare to the hero's rites of passage (call, refusal, trials, atonement, boon, perilous return, mastery of 2 worlds), The Heroine's Journey is much shorter and lighter.But there are some lessons here that I would like Pixar, Dreamworks, Hollywood, Blizzard Entertainment, and RockStar Games to digest and present to the world.",,1.0
TONE_FORMALITY,"For the North Atlantic basin this season, the ACE Index is 45 percent of its normal level, the weakest season since 1997.",,0.7304347826086957
PAWS,"On 25 August 2014 , Palmer had her first appearance as Lucy .",Palmer made her first appearance as Lucy on 25 August 2014 .,1.0
TONE_FORMALITY,"In the accompanying article - don't forget, things to read are in there - Vogue darling Sally Singer decides to reduce her environmental impact - kind of like when Kimora Lee Simmons did it for her reality show Life in the Fab Lane.",,0.6608695652173913
TONE_POLARITY,"OZZY OSBOURNE-THE OZZMAN COMETH: Am I the only brain dead idiot out there that doesn't subsribe to the theory that musically ""Ozzy is God"", and not ""The Prince of Dorkness""? THE OZZMAN COMETH is a collection of Beezle-Boob's so-called career highs (I'll skip the easy joke), mostly focusing on his post-Sabbath output, save a couple of throwaway ""new versions"" of BS classics. The Randy Rhoads-propelled early hits CRAZY TRAIN and I DON'T KNOW represent Ozzy's best solo work; that era's power sorely is diminished by later synth-intrusive power ballad dreck like MAMA I'M COMING HOME and IF I CLOSE MY EYES FOREVER. There's nothing here that Alice Cooper and Roky Erickson haven't done better, with at least a fundamental grasp on harmony. Ozzy has bitten off some canny career chunks, from small critters' heads to MTV's inexpilicably popular snooze-fest THE OSBOURNES. As for innovative, engaging rock & roll?...this incomplete anthology just kinda bites.RATING: TWO RABIES SHOTS",,0.0
STS,Cadbury Schweppes plc plans to cut 5500 jobs and shut factories after a 4.9 billion ($A11.9 billion) acquisition spree over the past three years inflated costs.,"Cadbury Schweppes has unveiled plans to slash 5,500 jobs and 20 percent of its factories over four years to cut costs brought about by an acquisition spree.",0.6400000000000001
PAWS,"It serves Udupi and the university town of Udupi , which is south of the train station and manipal .","It serves Udupi and the university town of Manipal , which is south from the station and Udupi .",0.0
STS,China mine accident kills 10,China truck accident kills 20,0.32000000000000006
TONE_FORMALITY,"It comes on the heels of the brutal, alleged murder of death row inmate, Frank Valdes, which the FBI is also currently investigating.",,0.591304347826087
PAWS,Waye played his earliest football in Willunga and Renmark before arriving in Adelaide and participating in the Port Adelaide Church Association .,"Waye played his earliest football in Willunga and Renmark , before arriving in Adelaide and competing in the Port Adelaide Church Association .",1.0
TONE_POLARITY,"Even after reading great reviews of this vacuum we were surprised how much we liked it: Amply powered, with a decent sized dirt cavity, the low price is pretty unbelievable. All in all it's a great deal but I have two complaints: I would have preferred a brush attachment on the little hose end but the real disappointment is the non retractable cord. It has to be wound up to store then unwound to use every time and that's a time gobbling design flaw.",,1.0
TONE_FORMALITY,It's 5:22 AM here in SC.,,0.31304347826086953
TONE_POLARITY,"The title just about says it all. Not that pushups, burpees and punches aren't great exercises, but do you really need to buy a DVD to tell you ""Do 30 seconds of X. Now do 30 seconds of Y.""There doesn't seem to be much thought given to the sequencing or timing of the intervals, and there is little to no actual technique instruction. Plus, the three workouts follow a goofy upper body, lower body, whole body split, which is presumably borrowed from body building, but makes no sense in martial arts training where movements are not designed to isolate muscle groups.Hackleman's second home work out DVD ""Crosspit"" fixes many of these shortcomings and is a much better product.",,0.0
PAWS,"It began as a fishing village populated by German settlers from the Kaszub region , as well as some Polish immigrants in 1870 .","It began as a fishing village , inhabited by German settlers from the Kaszub region , as well as some Polish immigrants in 1870 .",1.0
STS,Not so Super Tuesday for Mitt Romney,Romney leads Santorum in GOP Super Tuesday contests,0.32000000000000006
STS,A living room with a dining table in the background.,A boy doing a wheelie on a plank with the beach in the background.,0.0
TONE_POLARITY,"Good story, terrible writing.Anderson's prose is trite, unimaginative, and, far too often, simply laughable. Which is a shame because the story is compelling.This is a key part of the Star Wars extended universe, however. So, read it if you must. But you've been warned.",,0.0
TONE_FORMALITY,It's simple to use and aims to make microblogging easy to understand and use by a mainstream audience.,,0.6260869565217391
STS,"""This deal makes sense for both companies,"" Halla said in a prepared statement.","Brian Halla, CEO of NatSemi, claimed the deal made sense for both companies.",0.6400000000000001
TONE_FORMALITY,I sincerely hope that you and the cabinet would support this sound & fair business practice.,,0.8347826086956522
STS,A big green ball knocks a potato over.,A large green ball hits a potato.,0.8
PAWS,"Unlike the western settlement , no carefully observed floors were executed in the east .","To the east , unlike the western settlement , no carefully observed floors were executed .",1.0
STS,A man is spinning.,A man is dancing.,0.32000000000000006
PAWS,"At the end of the 1997 season , Refin -- Mobilvetta stopped because the main sponsor Refin had dissolved .","At the end of the 1997 season , Refin -- Mobilvetta disbanded because the main sponsor Refin stopped .",0.0
TONE_POLARITY,"This game is awesome! For the tykes and adult PpG fans as well. Exellent graphics, and very fast gameplay. Unfortunately, on my system, the Direct X movies tend to ""chug"" a bit.Other than that, I highly recomend it! A 5 Plus!!!",,1.0
TONE_FORMALITY,He was not asking the Governor to meet with us just to meet with us - but to let us discuss ways to diffuse public tension that he sees every day over the manatee debacle.,,0.6956521739130435
TONE_FORMALITY,"Instead, on June 25, the public saw, via the TV program Entertainment Tonight, the only picture snapped of Jackson as he was taken out of his rental home in Holmsby Hills, California, for the final time.",,0.7304347826086957
TONE_POLARITY,"So basically, the playstation 3 is exactly like playstation 2, except with better graphics. The games are obviously beautiful, but the gameplay and storylines of most games are subpar. Yes it's exciting because it's a new system, but it's really nothing new at all. I expect to get bored of it really soon. If you want something awesome, get the Wii. Trust me, now THAT'S a real next generation console. The graphics may not be as great as ps3 or x360, but if you buy games only because the graphics, then maybe video games aren't for you and you should stick to DVDs. Anyway, the ps3 is definitely inferior overall compared to the Wii. Go ahead, take my word for it and sell your ps3 or use the money you were gonna buy it with on a Wii, and have almost 400 bucks leftover.",,0.0
PAWS,"Incumbent Democrat Chuck Robb ran for a third term , but lost to Republican George Allen .","The established Republican George Allen ran for a third term , but lost to Democrat Chuck Robb .",0.0
TONE_POLARITY,"What a disappointment that Will Wright, a genius in the computer gaming industry, fell prey to DRM. I will not be buying this product until it is DRM-free, which it will inevitably be after EA realizes the mistake they made. Why should EA tell me what I can do with a product after I've already bought it?",,0.0
TONE_POLARITY,I can't believe that my one year old can spend so much time playing with cups! He will stack them and nest them. You can hide things under them or use them in the tub. It is a pre math skill. They are easy to transport and very good quality. I great gift for a young toddler. My only complaint was that they were so hard to find. The only place I could find a good quality product was online.,,1.0
TONE_POLARITY,"I purchased the Economist as a supplement to more expensive financial investment news services online. I had read special editions purchased at news stand prices, and found it almost too much to read in a week. The regular weekly edition is well organized, with capsule summaries of events up front, and longer feature articles on the same subjects further back.The British and European news and political bias is different than what we get on CNBC, Investors Business Daily, and USA Today. Many of the writers are very good, but the usual lack of credibility stands out in some others.",,1.0
TONE_FORMALITY,"I do not want to impose on your time or assume inappropriate correspondence, but if observations from a lower level manager within the organization are helpful then I will write from time to time.",,0.8347826086956522
TONE_POLARITY,"I was extremely disappointed in this sequel. I had read ""Into the Wilderness"" and loved it for the writing and characterzations. It was done so well. This book hardly seemed to have been written by the same author. It was rushed, badly written and I could not get into it. Such a shame from someone who had been my new favorite author.",,0.0
TONE_FORMALITY,Knead until stiff enough to hold its shape.,,0.6956521739130435
PAWS,"In his retirement , MacDonald wrote the `` Macdonald dictionary of Canterbury - Biographies '' , a collection of 12,000 biographies run by the Canterbury museum .","In his retirement , Macdonald compiled the `` MacDonald dictionary of Canterbury biographies '' , a collection of 12,000 biographies held by the Canterbury Museum .",1.0
STS,The dog pulled the dogs tail and then his leg.,A monkey pulled a dogs tail.,0.35000000000000003
TONE_FORMALITY,If you are old enough you can try sex search.com,,0.45217391304347826
TONE_FORMALITY,I wouldn't do anything to risk the health of my child.,,0.5217391304347826
STS,But the cancer society said its study had been misused.,The American Cancer Society and several scientists said the study was flawed in several ways.,0.45
STS,A tattooed man in black playing a white guitar and singing.,A woman in a black and white coat and earmuffs.,0.0
TONE_POLARITY,"There's very little Brazil in these nights. Good musicianship but an enormous eagerness to sell, what is not bad per se but produces something that could be made by virtually any decent pop star around.",,0.0
TONE_FORMALITY,Rozzy is totally wrong.,,0.06956521739130433
STS,It wouldn't stop joke marriages.,And I don't fight for marriage.,0.24
STS,Its shares jumped to $54.50 in pre-open trading from $50.90 at Wednesday's close.,"Shares jumped almost 7 percent in pre-open trading, rising to $18.26 from $17.05 at Tuesday's close.",0.5
TONE_FORMALITY,u will get addicted,,0.0
