task_type,input_text,aux_text,label
TONE_FORMALITY,"Recently, the Governor vetoed this funding for the Learning Gateway initiative.",,1.8
TONE_FORMALITY,We love it.,,-1.2
TONE_FORMALITY,"Since Obama took office, a total of 25 detainees have been sent from Guantanamo to countries overseas and one detainee has been transferred to New York to stand trial on terrorism charges.",,1.6
TONE_FORMALITY,I had been sleeping until he came home.,,-0.25
TONE_FORMALITY,"The balance will come, but the emphasis last night was on finishing the job.",,0.6
TONE_FORMALITY,Sir Terry sat on the Board of Trade's Competitiveness Advisory Group.,,0.2
TONE_FORMALITY,"finally for your essay, GRAMMAR AND SPELLING.",,-1.4
TONE_FORMALITY,I would be rich and happy,,-1.4
TONE_FORMALITY,mostly likely destination will be Arsenal in ENGLAND.,,-1.25
TONE_FORMALITY,"Recent polling has shown Scozzafava's support collapsing, while the race between Hoffman and Democrat Bill Owens is too close to call.",,1.4
TONE_FORMALITY,tell him repeatedly that big boys sleep in their own beds.,,-2.6
TONE_FORMALITY,"Sally, please make sure that Phil is on our guest list.",,0.6
TONE_FORMALITY,"Baker also pointed out that of the 6,000 cases reported by the U.S. Department of Education of juveniles bringing a gun to school over the last two years, there have been only 13 prosecutions nationwide.",,2.4
TONE_FORMALITY,"When you do this continually, it will always come back to you.",,-1.0
TONE_FORMALITY,There is no real difference.,,-0.2
TONE_FORMALITY,"""Anyone who's staggering, that's usually the first thing you'll see, a little wobbly when they're running or walking,"" said Capt. Bruce Adams, a doctor with the Navy.",,0.8
TONE_FORMALITY,he was a genius.,,-1.4
TONE_FORMALITY,"The draft amendment echoed Communist Party of China (CPC) Central Committee General Secretary Hu Jintao, who proposed in a report to the 17th CPC National Congress in October 2007 that rural and urban areas should have equal rights in election of lawmakers.",,0.2
TONE_FORMALITY,BlackBerry.net),,-1.66666666667
TONE_FORMALITY,"Mahamoud, who did not want his last name published for fear of angering the pirates, said that European naval patrols had arrested friends and relatives of the pirates, including seven captured last week who were part of the same gang that originally hijacked the Chandlers' sailboat.",,0.8
TONE_FORMALITY,Because all the guys that play high school kids are over 20 years old.,,-1.0
TONE_FORMALITY,"Every big GOP booster helps, sure, but more than anything he needs endorsements from big-name centrist Republicans to send the message that party trumps all in a two-man race with a Democrat (a highly ironic argument for DH to be making, needless to day).",,1.8
TONE_FORMALITY,"Prof Nutt, 58, also accused Gordon Brown of playing politics with science after the Prime Minister ignored the advisory council's recommendations earlier and upgraded cannabis to a class B drug.",,1.6
TONE_FORMALITY,I use calemine lotion.,,0.0
TONE_FORMALITY,"un servicio que nosotros financiamos, hay maneras de consequir dinero del gobierno del estado.",,0.5
TONE_FORMALITY,I was able to secure him employment through a friend who owns a plumbing company.,,2.0
TONE_FORMALITY,The other thing you could try is cutting your toe - nails.,,-0.25
TONE_FORMALITY,"If the Maoists were once dismissed as a ragtag band of outdated ideologues, Indian leaders are now preparing to deploy nearly 70,000 paramilitary officers for a prolonged counterinsurgency campaign to hunt down the guerrillas in some of the country's most rugged, isolated terrain.",,1.2
TONE_FORMALITY,"""Either we are sitting here, or we are on patrol. There is nothing else.""",,0.0
TONE_FORMALITY,The EU president and high representative will not be appointed until the Lisbon treaty has been ratified.,,1.2
TONE_FORMALITY,They're making it kind of a pain in the ass again (to see Trip).,,-2.6
TONE_FORMALITY,I am open to any of your thoughts--I would appreciate the extra 300.,,-1.4
TONE_FORMALITY,"This is what I feel, then upto you.",,-1.2
TONE_FORMALITY,"The Purchasing Managers' Index rose to a seasonally adjusted 55.2 in October from 54.3 in September, the Federation of Logistics and Purchasing said today in an e-mailed statement in Beijing.",,0.8
TONE_FORMALITY,"""There is no more bitter song than the nonrecognition of elections,"" she said, ""and that was enough to really worry us.""",,0.2
TONE_FORMALITY,Just eat half of what you normally eat.,,-1.2
TONE_FORMALITY,Thank you much!,,-2.66666666667
TONE_FORMALITY,A sincere thank you for the interest you have shown in our problems.,,2.2
TONE_FORMALITY,Let her do the cooking.,,-1.6
TONE_FORMALITY,He should feel normal... not like he's in an adult home.,,-1.8
TONE_FORMALITY,"""We just heard this real roar, I thought we were about to lose half our roof,"" she said.",,0.0
TONE_FORMALITY,"Khalil Abbas has worked with plants since he was 7 years old, and his tree nursery could be a barometer of Iraq's changing fortunes.",,1.4
TONE_FORMALITY,"Last week's decision to take controversy-scarred Justice Dinakaran off the panel, has been conveyed to the Centre, clearing the way for filling four of seven existing vacancies in the Supreme Court.",,1.2
TONE_FORMALITY,"The test was conducted on May 20, 2009.",,0.2
TONE_FORMALITY,The choice of Palau is likely to infuriate China as the island is one of only 23 countries that recognize Taiwan over Beijing.,,1.0
TONE_FORMALITY,I think you should go for a church wedding.,,-0.2
TONE_FORMALITY,"Cousin Cathy was a classy little lady who adored minuets and Crepe Suzette; rock 'n' roller cousin Patty lost control when it came to, um, hot dogs.",,-1.8
TONE_FORMALITY,"Major celebrations are planned for 9 November, the 20th anniversary of the wall's collapse.",,0.4
TONE_FORMALITY,"""Of course,"" he said.",,-1.2
TONE_FORMALITY,"The likely beneficiary of her decision, right-wing Independent candidate Doug Hoffman, commented on the suspension of the Scozzafava campaign, and it was hardly a magnanimous message--",,1.0
TONE_FORMALITY,You're starting out right.,,-1.0
TONE_FORMALITY,"The Celtics decimated the Bulls, 118-90, last night, digging a 15-point hole for Chicago by halftime.",,0.6
TONE_FORMALITY,U are the boss and don't forget it.,,-3.0
TONE_FORMALITY,"I am starting the agenda for our annual local Conference on disabilities in Kissimmee, the date will be on December the 6th from 8AM to 2PM.",,0.75
TONE_FORMALITY,i can't.,,-2.4
TONE_FORMALITY,"In the past, India has tamed some secessionist movements by coaxing rebel groups into the country's big-tent political process.",,1.2
TONE_FORMALITY,I had this similar problem with my lap top I use at work.,,-0.2
TONE_FORMALITY,She has some simple recipes and some more complex.,,0.0
TONE_FORMALITY,"Poly beat Wilson in the Friday night matchup, 34-15.",,0.4
TONE_FORMALITY,"I said [sarcastically], ""Yes. What are you captain of?""",,-2.2
TONE_FORMALITY,We welcome your imput and appreciate your support for this exciting new waiver and expansion.,,2.0
TONE_FORMALITY,"""We are getting to understand the problem better, thanks in part to the fact that many more scientists are working on it than was the case just a few years ago,"" Emanuel said.",,1.2
TONE_FORMALITY,"Kirk insists he will use his influence more, though it is unlikely he would throw verbal bombs at Republicans or give fiery speeches.",,1.8
TONE_FORMALITY,"Their evil deeds have no limit; they do not plead the case of the fatherless to win it, they do not defend the rights of the poor. """,,1.2
TONE_FORMALITY,Smoke engulfs Launch Pad 39B as the Ares I-X test rocket takes off from NASA's Kennedy Space Center in Florida at 11:30 a.m. EDT Oct. 28.,,2.0
TONE_FORMALITY,com) if you don't have these stores near you.,,-2.4
TONE_FORMALITY,"According to a source close to the negotiations, RBS is also ""near 100% certain"" to be putting its insurance division back on the market, including Churchill, Direct Line and Green Flag.",,1.8
TONE_FORMALITY,Great work.,,-0.4
TONE_FORMALITY,I get to be his sidekick for two days.,,-1.6
TONE_FORMALITY,It could cause a rash under the collar.,,0.0
TONE_FORMALITY,If anything I'd go further.,,-1.2
TONE_FORMALITY,"The executive involved in the production said that Mr. Azenberg believed he could not justify continuing to spend his investors' money, or his own, on the two plays when he was skeptical that ticket sales would grow.",,0.4
TONE_FORMALITY,I mean it!,,-2.6
TONE_FORMALITY,"The majority of the workers do a good job, based on their training and knowledge, I know that.",,-1.0
TONE_FORMALITY,With the first one he broke up with me with email.,,-1.6
TONE_FORMALITY,There may be something else going on.,,0.8
TONE_FORMALITY,"On Friday, Newsom met at home with his longtime adviser and former press secretary, Peter Ragone, to make a final call.",,-0.4
TONE_FORMALITY,"Local people with missing relatives have gathered outside the house where the bodies were discovered, some of them clutching photographs of their missing loved ones.",,2.0
TONE_FORMALITY,"The performance of the the Florida Department of Corrections continues to decline, while the corruption within management and the problems caused by that corruption continue to increase.",,2.5
TONE_FORMALITY,This week Google announced the launch of Google Music.,,0.2
TONE_FORMALITY,I'm with Tonks op all the Harry potters.,,-2.8
TONE_FORMALITY,"The 2017 budget deficit or the potential economic impact of a manufacturing plant closure in Georgia is not the kind of thing a lieutenant, captain, or major serving in the field is going to think about.",,0.2
TONE_FORMALITY,"They must begin to create a product that is not simply a static digital file that can be easily copied and distributed, but rather view media as a dynamic ""application"" with extensions via the web.",,0.8
TONE_FORMALITY,But Singer actually knows a thing or two about being green going into it.,,-0.8
TONE_FORMALITY,it pretty much just takes time.,,-2.0
TONE_FORMALITY,Buy the weed from somebody else the next time.,,-2.0
TONE_FORMALITY,Your points about the phosphate severance taxes and the diminishment of the land base are well taken.,,2.75
TONE_FORMALITY,your ovulating some women bleed a little when ovulating relax its nothing,,-2.0
TONE_FORMALITY,The USA and its great here,,-2.4
TONE_FORMALITY,"The initiatives have stirred some concern in the City, headquarters of London's leading law firms and maritime insurance groups.",,0.6
TONE_FORMALITY,"Of course you probably have a few worthy competitors in your neighborhood, so we encourage you to snap a photo and share it with us in the comments.",,-0.4
TONE_FORMALITY,The soul holds the knowledge of the difference between right and wrong.,,0.4
TONE_FORMALITY,"Speaking of, I doubt those heels belong to Wonky because they look kind of small for her big ass feet.",,-1.2
TONE_FORMALITY,its good peer preasure,,-1.6
TONE_FORMALITY,"It can be created on hair that is ""day old"" or older.",,0.666666666667
TONE_FORMALITY,"And part of the subtext of the Afghanistan debate is that as a matter of bureaucratic warfare, it makes enormous sense for the currently ascendant COIN faction to try to press its advantages - to exaggerate the extent of what was achieved in Iraq in 2007, and to overstate the strategic significance of achieving some kind of comprehensive success in Afghanistan.",,1.0
TONE_FORMALITY,"But they do consider what their players will be looking forward to doing, and want to reward them when they pull it off.",,-0.2
TONE_FORMALITY,I have to be in the mood for it.,,-0.4
TONE_FORMALITY,"does sound like menopause, u need to check it out.",,-2.8
TONE_FORMALITY,Why wasn't the beatings mentioned earlier?,,-2.6
TONE_FORMALITY,"""To have the knowledge about what happened is for the majority better than not having that knowledge, or not being allowed access to it,"" she said.",,1.8
TONE_FORMALITY,"I mean, bad things happen, but this?",,-1.4
TONE_FORMALITY,you are 15 dude.,,-3.0
TONE_FORMALITY,"Hole Hearted, Extreme 47.",,-2.0
TONE_FORMALITY,"""But I can't promise how long it will last.""",,-1.4
TONE_FORMALITY,Use oxy pads or another acne medicine.,,-1.2
TONE_FORMALITY,please I'll pick you if you answer one of my questions.,,-2.0
TONE_FORMALITY,"Clinton met with Palestinian Authority President Mahmoud Abbas in Abu Dhabi before flying to Israel for meetings with Israeli officials, including Prime Minister Benjamin Netanyahu.",,1.8
TONE_FORMALITY,Well... YEAH!,,-2.8
TONE_FORMALITY,"CHRISTIANS ARE LOWER THEN DOGS, ALMOST AS LOW AS THERE WOMEN.",,-2.5
TONE_FORMALITY,Make use of your advantages!,,0.4
TONE_FORMALITY,Your body will handle it.,,-0.2
TONE_FORMALITY,"With the government offensive drawing closer, the people who feel most at risk are the tribal villagers who live in the forests of Chattisgarh, where the police and Maoists, sometimes called Naxalites, are already skirmishing.",,1.4
TONE_FORMALITY,Even wastewater treatment has proved difficult in Yemen.,,2.0
TONE_FORMALITY,"(WIRED) -- An anarchist social worker raided by the feds wants his computers, manuscripts and pick axes back.",,0.4
TONE_FORMALITY,Similar increases have been factored into Fujitsu Consulting's modelling.,,0.4
TONE_FORMALITY,weren't looking for anything serious and that's why.,,-2.6
TONE_FORMALITY,Here are the top and bottom ten with the percentage of those polled who believe their wallets would be returned:,,0.6
TONE_FORMALITY,256-3472 to receive a copy by fax.,,1.0
TONE_FORMALITY,cheers.........,,-2.8
TONE_FORMALITY,Few words will do.,,1.0
TONE_FORMALITY,try the royal Dalton web site,,-1.6
TONE_FORMALITY,You may also consult a homeopathic or naturopathic veterinarian for alternative Parvo treatments.,,2.4
TONE_FORMALITY,I can't seem to put my hands on Matt Cohen's email address right now.,,-0.4
TONE_FORMALITY,"This service would cost the taxpayers nothing, that's right, not one red penny.",,-1.0
TONE_FORMALITY,I'm sure there are some dealers in Georgia.,,-0.2
TONE_FORMALITY,"CIT arranged a $4.5 billion term loan that can be used in bankruptcy, the company said Oct. 28.",,2.2
TONE_FORMALITY,It proved the same while running for governor:,,1.6
TONE_FORMALITY,More than half of this country's scarce water is used to feed an addiction.,,0.8
TONE_FORMALITY,HE LEFT THE YEAR I LEFT SO ITS ALL GOOD!,,-2.2
TONE_FORMALITY,Nothing to do with heat though.,,-1.25
TONE_FORMALITY,He can not intentionally block the path...,,0.75
TONE_FORMALITY,"This is government gone crazy, and I must confess that it even makes me wonder what the sense is in all this.",,-1.5
TONE_FORMALITY,Sitting on a sofa on a Sunday afternoon,,-0.8
TONE_FORMALITY,I'm really a big fan of diversification.,,0.0
TONE_FORMALITY,Tanay: Not at all.,,-2.6
TONE_FORMALITY,Buy a good filter.,,-0.2
TONE_FORMALITY,Is Foley a step up from Nick Zano's Josh?,,-1.4
TONE_FORMALITY,important; font - style: normal!,,-1.25
TONE_FORMALITY,Now with a Source!,,-1.2
TONE_FORMALITY,"We can, must, WILL make this happen!",,-2.0
TONE_FORMALITY,A spokesman for Lord Ashcroft referred all queries to the Conservative party.,,1.2
TONE_FORMALITY,Drugs charities were also critical.,,-0.2
TONE_FORMALITY,I still think he is doing it but not at home.,,-1.2
TONE_FORMALITY,"For More Details, Visit - http://www.profitfromnet.com http://www.profitfromnet.com/StudentLoan.htm http://www.profitfromnet.com/PartTimeJobs.htm http://www.profitfromnet.com/ReaEstate.htm http://www.profitfromnet.com/CreditCard.htm http://www.profitfromnet.com/CarInsurance.htm",,-0.666666666667
TONE_FORMALITY,"""There have been constant meetings between the pirates, and they finally disagreed over the management of the couple,"" said Mahamoud, a resident of Xarardheere, a pirate stronghold along the shore.",,0.0
TONE_FORMALITY,I believe that it was salt and lemon juice.,,0.6
TONE_FORMALITY,but they have a great chat link,,-1.8
TONE_FORMALITY,NO NO NO!,,-2.8
TONE_FORMALITY,"The suspect was taken to the hospital, where he died from a loss of blood, the ministry said.",,0.0
TONE_FORMALITY,"Critics of Ashcroft complain about the confidential nature of the ""accommodation agreements"" - one signed with Telemedia, a telecoms company previously owned by the Tory peer, and the other his Belizean bank.",,1.8
TONE_FORMALITY,Continue Reading,,-0.6
TONE_FORMALITY,"Mr Thomson said: 'Everybody else has moved into the Middle East market, from Marks & Spencer to Next, and it is strange that they haven't got a presence there.",,0.4
TONE_FORMALITY,"Lots of patience, love and who knows even treats can make it happen.",,-1.6
TONE_FORMALITY,"Right now, Meg Whitman is campaigning for Governor of California on the claim that state spending has exploded over the last decade - when the fact is that it has fallen drastically in real per capita terms.",,1.2
TONE_FORMALITY,(Chapter 4),,0.0
TONE_FORMALITY,"The last group dragged their reorganization and reshuffling of senior leadership out, did it poorly, never formed a unified team and the agency drifted.",,1.2
TONE_FORMALITY,BlackBerry.net),,-1.33333333333
TONE_FORMALITY,"Some of the Republican Party's biggest names - including Sarah Palin - handed their support to not the moderate, pro-abortion rights Republican in the race, but to a Conservative Party candidate.",,0.6
TONE_FORMALITY,"""We knew it was for our own good. It had its purpose, being tough with us,"" Arreola said.",,0.4
TONE_FORMALITY,Charles Clarke becomes home secretary and announces review of cannabis decision.,,1.2
TONE_FORMALITY,The following is a draft response to this e - mail for your review.,,1.4
TONE_FORMALITY,Just follow the prompts for repair info and you are there.,,0.4
TONE_FORMALITY,Every conservative woman knows how abortion defines most modern feminists.,,0.8
TONE_FORMALITY,Loving others is difficult when they have hurt us.,,1.4
TONE_FORMALITY,Those recommendations were unsolicited and undesirable.,,1.8
TONE_FORMALITY,If I had to guess I would think you are not pregnant.,,-0.6
TONE_FORMALITY,"First, I would like to personally thank you for the audience you granted our TOO FAR trio on 23rd April.",,2.4
TONE_FORMALITY,"But the bottom line for Massachusetts is hard to quantify because the state has developed its system through a special arrangement with the federal government, known as a Medicaid ""waiver,"" outside of the regular Medicaid rules.",,0.6
TONE_FORMALITY,District G encompasses the west side of Houston.,,0.6
TONE_FORMALITY,... Hope this helped.,,-2.4
TONE_FORMALITY,I don't think I have one.,,-2.2
TONE_FORMALITY,Committees in both houses of Congress defeated thirty different amendments barring such funding.,,2.0
TONE_FORMALITY,I created a screen shot of my directory tree for another group of users.,,0.2
TONE_FORMALITY,It is just something some girls go through.,,-0.6
TONE_FORMALITY,She evidently has not endorsed Conservative Party nominee Doug Hoffman.,,0.4
TONE_FORMALITY,"""This never happens. It's a vote of no confidence in the bargaining committee and a vote of no confidence in Ford,"" said Gary Chaison, a labor professor at Clark University in Worcester, Massachusetts.",,1.6
TONE_FORMALITY,Now you're forced to chase his ass down and take whats rightfully yours.,,-2.8
TONE_FORMALITY,"""There is no coordination with other parts of the government, even after we explain the dangers,"" said Ali Hassan Awad.",,0.4
TONE_FORMALITY,"The other downsides of screening, to be described in more detail in the advice, include missing some cancers and the anxiety caused by identifying others that do not exist, so-called ""false positives"".",,0.2
TONE_FORMALITY,There are 10!,,-1.4
TONE_FORMALITY,"Bryant's mother, Nina Bryant, also of Crewe, said Saturday that all she had been told was that ""they're searching and haven't found anyone yet, and they don't know whose fault it was.""",,0.6
TONE_FORMALITY,"YOu are too young to be here, Missy",,-1.8
TONE_FORMALITY,There is no rule that says you have to serve an entire meal.,,0.8
TONE_FORMALITY,"I got a free iPod from this site, I highly recommend it!",,-1.2
TONE_FORMALITY,i am working but i am surfing the net.,,-2.0
TONE_FORMALITY,"Source, Census < http://www.news - press.com/special_sections/Census/census.html > 2000, more...",,-0.5
TONE_FORMALITY,"""Whatever the results are I don't think they portend a lot in dealing with the future,"" White House press secretary Robert Gibbs told reporters on Friday, pointing to the fact that Democrats won the Virginia and New Jersey governors' races in 2001 despite a very popular President Bush, with Republicans picking up seats in Congress in 2002.",,0.2
TONE_FORMALITY,This observation is based on my own daughter.,,0.8
TONE_FORMALITY,This went so far as having their own portions of the script written.,,0.4
TONE_FORMALITY,Available from good chemists.,,0.6
TONE_FORMALITY,i am but i have mates who don't take muckers and still love trance,,-2.8
TONE_FORMALITY,"David Axelrod, one of Mr. Obama's top advisers, talks Afghanistan, health care, and economics on ""Face the Nation"" with CBS's Bob Schieffer.",,1.4
TONE_FORMALITY,UPDATE II:  Here is the three-part segment I taped yesterday with Bill Moyers:,,0.2
TONE_FORMALITY,Most stores are by request only.,,-0.2
TONE_FORMALITY,Brizzly shares much of the same philosophy as Blogger.,,-0.6
TONE_FORMALITY,__________________________________________________ Do you Yahoo!?,,-2.0
TONE_FORMALITY,city flag... tothe right.,,-2.0
TONE_FORMALITY,The measure sent to Gov. Pat Quinn would turn down the wide-open spigot of cash flowing into state and local elections and give voters nearly real-time information about where the money is coming from.,,-0.4
TONE_FORMALITY,we're all insane.,,-2.6
TONE_FORMALITY,She way funnier and really smart.,,0.6
TONE_FORMALITY,Lee said.,,-0.75
TONE_FORMALITY,Suicide is not the correct way to handle your problems.,,1.2
TONE_FORMALITY,That kind of cutting-edge idea seems like it would be exactly what Michael Jackson would embrace.,,0.0
TONE_FORMALITY,"You are right, most dogs do this for a dominance purpose.",,0.0
TONE_FORMALITY,"On the eve of the conference, the NDP's secretary-general said that choosing a successor to the president was not on the agenda.",,1.0
TONE_FORMALITY,This animus causes conservative women all sorts of grief with other women.,,1.4
TONE_FORMALITY,Yet look at what just happened.,,-1.4
TONE_FORMALITY,But I think too that it is only fair to take a hard look internally about what Pakistan needs to do.,,0.4
TONE_FORMALITY,they r realy stupid.,,-3.0
TONE_FORMALITY,"A key change from the vetoed bill would tie new contribution limits to the primary and general elections rather than calendar years, reducing the advantage of incumbents who could raise money around the clock.",,1.4
TONE_FORMALITY,"If your message was sent to your Representative, you may be assured that all comments and position statements are received and annotated or printed for the Representative's use during committee, on the Floor or for research purposes.",,3.0
TONE_FORMALITY,We need all the help we can get.,,-1.75
TONE_FORMALITY,comes the reply.,,-2.0
TONE_FORMALITY,"We have a commitment for the loan @ LIBOR + 60 basis points either to Spaceport, Palm Beach County, or Pratt, but have not been successful in determining a method of funding a buy down.",,0.4
TONE_FORMALITY,Do that everyday with you around.,,-1.2
TONE_FORMALITY,definitely try it... i think you will love the results.,,-1.4
TONE_FORMALITY,but reduce it and get exercise.,,-1.0
TONE_FORMALITY,it has gotten scary here the past few weeks,,-1.4
TONE_FORMALITY,"""If we can get the inclusive government working again and if all the GPA issues are resolved or partially resolved depending on what the summit will deal with then we are able to push the country forward, that's the most important objective.""",,1.2
TONE_FORMALITY,"In addition, MIA hosted a luncheon in the Admiral's honor, for its air and cargo carriers, and security communities.",,1.2
TONE_FORMALITY,"In the last Congress, members of both the House and Senate worked hard to bring all sides together to pass the rauthorization of IDEA.",,1.6
TONE_FORMALITY,You can try a school that teaches architect design.,,1.2
TONE_FORMALITY,"As for the rest of the student body, she said: ""We are all shocked at how horrible this was.",,0.4
TONE_FORMALITY,"But it takes some time to work completely, up to 3 years.",,0.6
TONE_FORMALITY,"cost around $1,000, yup 1 thousand",,-3.0
TONE_FORMALITY,Dollars to apply to the already high insurance rates (1800./yr)--just kidding.,,-1.0
TONE_FORMALITY,Giving the benifit of the doubt that it sliped your mind I am not sure the,,-0.8
TONE_FORMALITY,"no, your nails grow faster",,-1.8
TONE_FORMALITY,I could smell the ugly brutes.,,-0.4
TONE_FORMALITY,"Under current Treasury forecasts, expenditure will rise next year by 30 billion to 700 billion.",,-0.4
TONE_FORMALITY,He also was born farther south than anyone in history.,,1.0
TONE_FORMALITY,"More than 700,000 of these older adults are legally blind.",,1.6
TONE_FORMALITY,"try EB games, they have tons of used games",,-1.8
TONE_FORMALITY,see http://en.wikipedia.org/wiki/Capital_asset_pricing_model The beta for a stock is usually available at financial web sites.,,0.2
TONE_FORMALITY,Gambling has been around forever.,,1.2
TONE_FORMALITY,* Take showers instead of tub baths.,,-1.2
TONE_FORMALITY,she didn't have any surgery but the `lump 'shrunk.,,-1.8
TONE_FORMALITY,More than a fair share of these lowlifes seems to have surrounded Mike Moskowitz.,,-1.6
TONE_FORMALITY,"Mr. Karzai is a ""very able, intelligent man, but a survivor, and sort of understands how in the rough-and-tumble of this,"" he added.",,0.6
TONE_FORMALITY,"Liberal pundits continue to ridicule Sarah Palin's colorful but accurate term ""death panels,"" but government control, cost-cutting and Medicare penalties against docs who provide ""too much"" care will lead to bureaucrats literally deciding who lives and who dies.",,1.4
TONE_FORMALITY,Because they don't move!,,-1.0
TONE_FORMALITY,"Lady Madonna, children at your feet.",,0.2
TONE_FORMALITY,Self - realization is much easy then framing and execution of tricks.,,1.25
TONE_FORMALITY,"Something must be missing in the interpretation when I read it, I hope it's not just politics.",,-0.25
TONE_FORMALITY,I think that would be a good idea.,,0.4
TONE_FORMALITY,It's only 9 months out of your life.,,-1.8
TONE_FORMALITY,"Makes one shrug and think, this is it?",,-1.4
TONE_FORMALITY,"""I'm very attached to it. I'm a soldier and I respect that flag.""",,-1.0
TONE_FORMALITY,"In a military medical facility, a doctor braced him for the worst.",,0.4
TONE_FORMALITY,My name is Paul Brock.,,-0.2
TONE_FORMALITY,We read and read about a lot of bullshit.,,-1.8
TONE_FORMALITY,"As usual, good ideas from brother Al.",,-2.6
TONE_FORMALITY,Does anyone really believe that a government plan consisting of nearly two thousand pages will simplify things and leave us a freer people?,,-0.8
TONE_FORMALITY,"""The Bible""....",,-0.4
TONE_FORMALITY,Fighting after this point was left almost entirely to PAVN forces.,,1.75
TONE_FORMALITY,That's seriously funny...,,-1.2
TONE_FORMALITY,"I'd hazard the guess that there are plenty more women in America (and, for that matter, in the GOP) that see the world as DeDe Scozzafava does, rather than as Michele Bachmann does.",,0.2
TONE_FORMALITY,until now:) This is the story of Rindercella and her sugly isters.,,-2.0
TONE_FORMALITY,These are all great!!!!,,-1.8
TONE_FORMALITY,Introduction............................................................................................. 1,,-1.0
TONE_FORMALITY,Here's some examples http://www.anniescostumes.com/cal00230.jpg http://www.ehrlesparty.com/images/Standard/10601.JPG,,-0.25
TONE_FORMALITY,"Professor Colin Blakemore, professor of neuroscience at Oxford University and former chief executive of the Medical Research Council, said it was vital that government policy was based on evidence.",,2.2
TONE_FORMALITY,"if anything, you should be coming out on the better end that way.",,-1.0
TONE_FORMALITY,The sequence of reactions of anaerobic glycolysis or fermentation is shown in the illustration.,,2.8
TONE_FORMALITY,"If she refuses, you call social services and say she's on run.",,-0.8
TONE_FORMALITY,The kids now don't learn about Christmas and the true meaning in school.,,-1.2
TONE_FORMALITY,"So, who will join the illustrious ranks of Gizmodo's Essential iPhone apps?",,-0.8
TONE_FORMALITY,Program Prerequisites Each program has additional specific course requirements.,,2.0
TONE_FORMALITY,I buy wal mart frames!,,-1.6
TONE_FORMALITY,Exceptions are made for emergencies.,,0.6
TONE_FORMALITY,"At the same time, just because things look one way to ""lieutenants, captains and majors"" and another way to ""senior people in the Pentagon"" doesn't mean we should take a dismissive view of the senior people's outlook in a rush to celebrate the insights of the practical warfighter.",,0.2
TONE_FORMALITY,The thick pencil?,,-1.8
TONE_FORMALITY,This move will show their success.,,0.0
TONE_FORMALITY,Don't let her eat anymore dairy or fast foods.,,-2.0
